2019-03-22 10:52:31.270 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 32 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:52:31.285 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:52:31.301 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:52:40.381 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:52:40.772 [main] INFO  org.reflections.Reflections - Reflections took 312 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:52:41.756 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:52:41.975 [main] INFO  org.reflections.Reflections - Reflections took 62 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:52:45.533 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:52:45.533 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:52:45.564 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:52:45.564 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:52:45.579 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:53:58.545 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:53:58.874 [main] INFO  org.reflections.Reflections - Reflections took 266 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:53:59.514 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:53:59.749 [main] INFO  org.reflections.Reflections - Reflections took 63 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:54:03.976 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:54:03.976 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:54:04.008 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 32 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:54:04.008 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:54:04.023 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:56:48.123 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:56:48.466 [main] INFO  org.reflections.Reflections - Reflections took 265 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:56:49.154 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:56:49.373 [main] INFO  org.reflections.Reflections - Reflections took 63 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:56:51.812 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:56:51.812 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:56:51.844 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 32 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:56:51.844 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:56:51.859 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 15 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:58:24.182 [main] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:58:24.557 [main] INFO  org.reflections.Reflections - Reflections took 281 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:58:25.291 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
2019-03-22 10:58:25.494 [main] INFO  org.reflections.Reflections - Reflections took 62 ms to scan 1 urls, producing 3 keys and 6 values 
2019-03-22 10:58:29.019 [main] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - close gecco!
2019-03-22 10:58:29.019 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.downloader.proxy.FileProxys - proxys not load
2019-03-22 10:58:29.050 [GeccoEngine] INFO  org.reflections.Reflections - Reflections took 31 ms to scan 3 urls, producing 63 keys and 218 values 
2019-03-22 10:58:29.050 [GeccoEngine] INFO  com.secondhand.tradingplatformgeccoengine.GeccoEngine - starts.json not found
